"","p","variable","value"
"1",0.01,"wilsonp",0.0518191692309643
"2",0.02,"wilsonp",0.0626782578599938
"3",0.03,"wilsonp",0.0717528007731502
"4",0.04,"wilsonp",0.0807239977613137
"5",0.05,"wilsonp",0.0879106177315841
"6",0.06,"wilsonp",0.0945673490916371
"7",0.07,"wilsonp",0.100920679407968
"8",0.08,"wilsonp",0.107398162658427
"9",0.09,"wilsonp",0.111841230135873
"10",0.1,"wilsonp",0.11796369894086
"11",0.11,"wilsonp",0.12184703370996
"12",0.12,"wilsonp",0.126837506252952
"13",0.13,"wilsonp",0.131130052604562
"14",0.14,"wilsonp",0.135176429046831
"15",0.15,"wilsonp",0.138624750478638
"16",0.16,"wilsonp",0.141351637202658
"17",0.17,"wilsonp",0.144856103477634
"18",0.18,"wilsonp",0.148758372448866
"19",0.19,"wilsonp",0.151899168808942
"20",0.2,"wilsonp",0.154385847308115
"21",0.21,"wilsonp",0.156969347338274
"22",0.22,"wilsonp",0.159822110479756
"23",0.23,"wilsonp",0.162109063592771
"24",0.24,"wilsonp",0.163892550073161
"25",0.25,"wilsonp",0.166978764011678
"26",0.26,"wilsonp",0.168735194747927
"27",0.27,"wilsonp",0.170793868200787
"28",0.28,"wilsonp",0.173153838952876
"29",0.29,"wilsonp",0.174240976804864
"30",0.3,"wilsonp",0.176309562505512
"31",0.31,"wilsonp",0.177433066649422
"32",0.32,"wilsonp",0.178726689582951
"33",0.33,"wilsonp",0.180120540954531
"34",0.34,"wilsonp",0.181532860745447
"35",0.35,"wilsonp",0.182610575935348
"36",0.36,"wilsonp",0.183929509900631
"37",0.37,"wilsonp",0.184838540062588
"38",0.38,"wilsonp",0.186113896380711
"39",0.39,"wilsonp",0.186882730959819
"40",0.4,"wilsonp",0.187703466086281
"41",0.41,"wilsonp",0.188292523215668
"42",0.42,"wilsonp",0.189027427964255
"43",0.43,"wilsonp",0.189538878415746
"44",0.44,"wilsonp",0.190144277024048
"45",0.45,"wilsonp",0.190534208678905
"46",0.46,"wilsonp",0.190714819583196
"47",0.47,"wilsonp",0.191010911761911
"48",0.48,"wilsonp",0.191327428825482
"49",0.49,"wilsonp",0.191373006823528
"50",0.5,"wilsonp",0.191417242680876
"51",0.51,"wilsonp",0.191414063900008
"52",0.52,"wilsonp",0.191238476325253
"53",0.53,"wilsonp",0.19112876305914
"54",0.54,"wilsonp",0.190808720218071
"55",0.55,"wilsonp",0.190421553865772
"56",0.56,"wilsonp",0.19009800141747
"57",0.57,"wilsonp",0.189581704262838
"58",0.58,"wilsonp",0.189065936858117
"59",0.59,"wilsonp",0.188167575103478
"60",0.6,"wilsonp",0.187834113139218
"61",0.61,"wilsonp",0.186910293326315
"62",0.62,"wilsonp",0.185792108582021
"63",0.63,"wilsonp",0.184763091654196
"64",0.64,"wilsonp",0.184289760349248
"65",0.65,"wilsonp",0.182976948791611
"66",0.66,"wilsonp",0.181632386044101
"67",0.67,"wilsonp",0.180286188739939
"68",0.68,"wilsonp",0.179337389044365
"69",0.69,"wilsonp",0.177487470887645
"70",0.7,"wilsonp",0.175844967452365
"71",0.71,"wilsonp",0.173942211674097
"72",0.72,"wilsonp",0.172140056643109
"73",0.73,"wilsonp",0.170613060938373
"74",0.74,"wilsonp",0.168980205210165
"75",0.75,"wilsonp",0.166100784534644
"76",0.76,"wilsonp",0.164325372569931
"77",0.77,"wilsonp",0.162503475447283
"78",0.78,"wilsonp",0.159306430353124
"79",0.79,"wilsonp",0.156704901086707
"80",0.8,"wilsonp",0.154944103566749
"81",0.81,"wilsonp",0.151405094280847
"82",0.82,"wilsonp",0.148838329563633
"83",0.83,"wilsonp",0.145007755566388
"84",0.84,"wilsonp",0.141442295566902
"85",0.85,"wilsonp",0.138876845598402
"86",0.86,"wilsonp",0.134798285177926
"87",0.87,"wilsonp",0.130182000724623
