"","p","variable","value"
"1",0.01,"wilsonp",0.91
"2",0.02,"wilsonp",0.945
"3",0.03,"wilsonp",0.971
"4",0.04,"wilsonp",0.926
"5",0.05,"wilsonp",0.977
"6",0.06,"wilsonp",0.944
"7",0.07,"wilsonp",0.968
"8",0.08,"wilsonp",0.962
"9",0.09,"wilsonp",0.95
"10",0.1,"wilsonp",0.941
"11",0.11,"wilsonp",0.962
"12",0.12,"wilsonp",0.948
"13",0.13,"wilsonp",0.933
"14",0.14,"wilsonp",0.923
"15",0.15,"wilsonp",0.941
"16",0.16,"wilsonp",0.965
"17",0.17,"wilsonp",0.955
"18",0.18,"wilsonp",0.968
"19",0.19,"wilsonp",0.941
"20",0.2,"wilsonp",0.932
"21",0.21,"wilsonp",0.941
"22",0.22,"wilsonp",0.956
"23",0.23,"wilsonp",0.954
"24",0.24,"wilsonp",0.953
"25",0.25,"wilsonp",0.953
"26",0.26,"wilsonp",0.955
"27",0.27,"wilsonp",0.941
"28",0.28,"wilsonp",0.939
"29",0.29,"wilsonp",0.943
"30",0.3,"wilsonp",0.938
"31",0.31,"wilsonp",0.952
"32",0.32,"wilsonp",0.962
"33",0.33,"wilsonp",0.969
"34",0.34,"wilsonp",0.955
"35",0.35,"wilsonp",0.961
"36",0.36,"wilsonp",0.959
"37",0.37,"wilsonp",0.954
"38",0.38,"wilsonp",0.945
"39",0.39,"wilsonp",0.947
"40",0.4,"wilsonp",0.949
"41",0.41,"wilsonp",0.947
"42",0.42,"wilsonp",0.955
"43",0.43,"wilsonp",0.953
"44",0.44,"wilsonp",0.953
"45",0.45,"wilsonp",0.944
"46",0.46,"wilsonp",0.938
"47",0.47,"wilsonp",0.943
"48",0.48,"wilsonp",0.945
"49",0.49,"wilsonp",0.95
"50",0.5,"wilsonp",0.946
"51",0.51,"wilsonp",0.95
"52",0.52,"wilsonp",0.937
"53",0.53,"wilsonp",0.937
"54",0.54,"wilsonp",0.946
"55",0.55,"wilsonp",0.935
"56",0.56,"wilsonp",0.944
"57",0.57,"wilsonp",0.935
"58",0.58,"wilsonp",0.95
"59",0.59,"wilsonp",0.936
"60",0.6,"wilsonp",0.956
"61",0.61,"wilsonp",0.948
"62",0.62,"wilsonp",0.951
"63",0.63,"wilsonp",0.95
"64",0.64,"wilsonp",0.953
"65",0.65,"wilsonp",0.953
"66",0.66,"wilsonp",0.945
"67",0.67,"wilsonp",0.962
"68",0.68,"wilsonp",0.95
"69",0.69,"wilsonp",0.953
"70",0.7,"wilsonp",0.935
"71",0.71,"wilsonp",0.918
"72",0.72,"wilsonp",0.937
"73",0.73,"wilsonp",0.943
"74",0.74,"wilsonp",0.946
"75",0.75,"wilsonp",0.952
"76",0.76,"wilsonp",0.953
"77",0.77,"wilsonp",0.96
"78",0.78,"wilsonp",0.959
"79",0.79,"wilsonp",0.939
"80",0.8,"wilsonp",0.956
"81",0.81,"wilsonp",0.943
"82",0.82,"wilsonp",0.956
"83",0.83,"wilsonp",0.971
"84",0.84,"wilsonp",0.956
"85",0.85,"wilsonp",0.931
"86",0.86,"wilsonp",0.932
"87",0.87,"wilsonp",0.951
"88",0.88,"wilsonp",0.951
"89",0.89,"wilsonp",0.974
"90",0.9,"wilsonp",0.933
"91",0.91,"wilsonp",0.957
"92",0.92,"wilsonp",0.964
"93",0.93,"wilsonp",0.966
"94",0.94,"wilsonp",0.96
"95",0.95,"wilsonp",0.964
"96",0.96,"wilsonp",0.935
"97",0.97,"wilsonp",0.966
"98",0.98,"wilsonp",0.944
"99",0.99,"wilsonp",0.909
"100",0.01,"axact",0.978
"101",0.02,"axact",0.979
"102",0.03,"axact",0.987
"103",0.04,"axact",0.958
"104",0.05,"axact",0.99
"105",0.06,"axact",0.965
"106",0.07,"axact",0.968
"107",0.08,"axact",0.976
"108",0.09,"axact",0.967
"109",0.1,"axact",0.959
"110",0.11,"axact",0.962
"111",0.12,"axact",0.965
"112",0.13,"axact",0.957
"113",0.14,"axact",0.944
"114",0.15,"axact",0.971
"115",0.16,"axact",0.965
"116",0.17,"axact",0.969
"117",0.18,"axact",0.974
"118",0.19,"axact",0.957
"119",0.2,"axact",0.961
"120",0.21,"axact",0.972
"121",0.22,"axact",0.956
"122",0.23,"axact",0.954
"123",0.24,"axact",0.966
"124",0.25,"axact",0.962
"125",0.26,"axact",0.963
"126",0.27,"axact",0.953
"127",0.28,"axact",0.965
"128",0.29,"axact",0.971
"129",0.3,"axact",0.962
"130",0.31,"axact",0.952
"131",0.32,"axact",0.962
"132",0.33,"axact",0.969
"133",0.34,"axact",0.955
"134",0.35,"axact",0.961
"135",0.36,"axact",0.968
"136",0.37,"axact",0.963
"137",0.38,"axact",0.959
"138",0.39,"axact",0.958
"139",0.4,"axact",0.96
"140",0.41,"axact",0.97
"141",0.42,"axact",0.972
"142",0.43,"axact",0.973
"143",0.44,"axact",0.971
"144",0.45,"axact",0.961
"145",0.46,"axact",0.961
"146",0.47,"axact",0.965
"147",0.48,"axact",0.968
"148",0.49,"axact",0.967
"149",0.5,"axact",0.963
"150",0.51,"axact",0.964
"151",0.52,"axact",0.962
"152",0.53,"axact",0.965
"153",0.54,"axact",0.965
"154",0.55,"axact",0.966
"155",0.56,"axact",0.969
"156",0.57,"axact",0.972
"157",0.58,"axact",0.969
"158",0.59,"axact",0.965
"159",0.6,"axact",0.96
"160",0.61,"axact",0.96
"161",0.62,"axact",0.963
"162",0.63,"axact",0.959
"163",0.64,"axact",0.965
"164",0.65,"axact",0.953
"165",0.66,"axact",0.945
"166",0.67,"axact",0.962
"167",0.68,"axact",0.95
"168",0.69,"axact",0.953
"169",0.7,"axact",0.961
"170",0.71,"axact",0.953
"171",0.72,"axact",0.963
"172",0.73,"axact",0.959
"173",0.74,"axact",0.962
